time,horizontal_distance,horizontal_distance_detrended,vertical_distance,vertical_distance_detrended
2025-10-04-08-21-33,73.647,-0.34155276381908095,12.985953148236321,-0.060224967596850476
2025-10-04-08-21-34,70.14,-3.848552763819086,12.367574426891734,-0.678603688941438
2025-10-04-08-21-35,69.47200000000001,-4.516552763819078,12.24978800377848,-0.7963901120546915
2025-10-04-08-21-36,68.971,-5.017552763819083,12.161448186443538,-0.8847299293896338
2025-10-04-08-21-37,70.97500000000001,-3.013552763819078,12.514807455783304,-0.531370660049868
2025-10-04-08-21-38,72.812,-1.176552763819089,12.838720119344751,-0.20745799648842045
2025-10-04-08-21-39,74.315,0.3264472361809112,13.103739571349575,0.057561455516403015
2025-10-04-08-21-40,74.983,0.9944472361809176,13.22152599446283,0.17534787862965828
2025-10-04-08-21-41,75.15,1.1614472361809192,13.250972600241145,0.204794484407973
2025-10-04-08-21-42,75.31700000000001,1.3284472361809208,13.280419206019458,0.23424109018628592
2025-10-04-08-21-43,73.48,-0.5085527638190825,12.956506542458007,-0.08967157337516518
2025-10-04-08-21-44,67.96900000000001,-6.019552763819078,11.984768551773657,-1.061409564059515
2025-10-04-08-21-45,67.96900000000001,-6.019552763819078,11.984768551773657,-1.061409564059515
2025-10-04-08-21-46,69.138,-4.850552763819081,12.190894792221853,-0.8552833236113191
2025-10-04-08-21-47,74.816,0.827447236180916,13.192079388684515,0.14590127285134358
2025-10-04-08-21-48,74.983,0.9944472361809176,13.22152599446283,0.17534787862965828
2025-10-04-08-21-49,75.15,1.1614472361809192,13.250972600241145,0.204794484407973
2025-10-04-08-21-50,75.31700000000001,1.3284472361809208,13.280419206019458,0.23424109018628592
2025-10-04-08-21-51,75.48400000000001,1.4954472361809223,13.309865811797772,0.2636876959646006
2025-10-04-08-21-52,75.15,1.1614472361809192,13.250972600241145,0.204794484407973
2025-10-04-08-21-53,74.482,0.4934472361809128,13.133186177127888,0.08700806129471594
2025-10-04-08-21-54,69.305,-4.68355276381908,12.220341398000166,-0.8258367178330062
2025-10-04-08-21-55,69.305,-4.68355276381908,12.220341398000166,-0.8258367178330062
2025-10-04-08-21-56,73.647,-0.34155276381908095,12.985953148236321,-0.060224967596850476
2025-10-04-08-21-57,75.985,1.996447236180913,13.398205629132711,0.3520275132995394
2025-10-04-08-21-58,77.321,3.3324472361809114,13.63377847535922,0.5876003595260482
2025-10-04-08-21-59,77.989,4.000447236180918,13.751564898472475,0.7053867826393034
