x,y,z
453826.22899433295,6071847.464555111,0.69
453826.0872989166,6071846.522316909,0.69
453825.9205463227,6071845.590448262,0.69
453825.7537937288,6071844.658579615,0.69
453825.58704113495,6071843.726710968,0.69
453825.4202885411,6071842.7948423205,0.69
453825.25353594724,6071841.862973673,0.69
453825.16475567437,6071840.898837297,0.69
453825.0866941292,6071839.93026513,0.69
453824.91994153534,6071838.998396482,0.69
453824.75318894145,6071838.066527835,0.69
453824.58643634757,6071837.134659188,0.69
453824.58634712343,6071836.133819291,0.69
453824.4195945296,6071835.201950644,0.69
453824.25284193567,6071834.270081997,0.69
453824.25275271153,6071833.2692421,0.69
453824.0860001177,6071832.337373453,0.69
453823.96066611033,6071831.52643757,0.69
453823.7245188776,6071830.6232869,0.69
453823.58575464477,6071829.679835671,0.69
453823.4190020509,6071828.747967023,0.69
453823.252249457,6071827.816098376,0.69
453823.01544673415,6071826.913218972,0.69
453822.7792995009,6071826.010068303,0.69
453822.74552931613,6071825.155876462,0.69
453822.28680385544,6071824.350200186,0.69
453822.1400045108,6071823.593560144,0.69
453821.98942263925,6071822.885733263,0.69
453821.7330742263,6071822.1290158145,0.69
453821.45749690675,6071821.274653116,0.69
453821.3381357954,6071820.566848294,0.69
453821.0817873822,6071819.810130847,0.69
453820.7514282235,6071819.084041687,0.69
453820.6868489514,6071818.247963327,0.69
453820.2512719747,6071817.427343802,0.69
453820.21043637174,6071816.6857382385,0.69
453819.917803713,6071815.9778109845,0.69
453817.41752285213,6071813.307191329,0.44
453817.5842633063,6071814.102886846,0.44
453817.79493811075,6071815.0184740145,0.44
453818.08443220163,6071815.90144295,0.44
453818.26991058455,6071816.827457297,0.44
453818.58460109704,6071817.699999054,0.44
453818.8626414534,6071818.5877079535,0.44
453819.1001276902,6071819.492199594,0.44
453819.41818612494,6071820.363347585,0.44
453819.6928585592,6071821.252450251,0.44
453819.9183550203,6071822.16190369,0.44
453820.167831033,6071823.061433533,0.44
453820.52944775956,6071823.868381219,0.44
453820.6050896612,6071824.626311008,0.44
453820.918655885,6071825.344811419,0.44
453821.1985806997,6071826.093667209,0.44
453821.26331508404,6071826.802773459,0.44
453821.5855406172,6071827.662926722,0.44
453821.7522933799,6071828.596690399,0.44
453821.91903383407,6071829.392385916,0.44
